episode,train_reward,val_reward,loss,lr,train_distance,train_customers,policy_loss,value_loss,entropy,steps
1,-2.1772181168247884,-22.11339195061717,4911.851259559393,0.0003,2.9172181168247886,5.0,0.8242820203304291,4911.0269775390625,0.6663138004330297,480
2,-2.1329216623218072,-39.62106852941647,4553.573317460716,0.0003,2.872921662321807,5.0,0.9460591599345207,4552.627258300781,0.6618638156292339,480
3,-2.096981466521217,-24.67646000302368,4512.827697366476,0.0003,2.8369814665212174,5.0,0.691833108663559,4512.1358642578125,0.6448363167854647,480
4,-2.2543397306270103,-31.73111736057683,5101.741926573217,0.0003,2.9943397306270096,5.0,0.8212112411856651,5100.920715332031,0.6476758438783388,480
5,-2.184325165691597,-39.52867375167933,4536.530562054366,0.0003,2.924325165691597,5.0,0.6601396910846233,4535.870422363281,0.6421765005836885,480
6,-2.0708800614093623,-55.439184344708224,4056.8579486459494,0.0003,2.810880061409362,5.0,0.6750873178243637,4056.182861328125,0.6562425891558329,480
7,-2.05404015412999,-34.69557354533899,3829.266606401652,0.0003,2.7940401541299904,5.0,0.8076220266520977,3828.458984375,0.6534705844707787,480
8,-2.0926589111358256,-32.345543756026736,3958.8213453143835,0.0003,2.8326589111358254,5.0,0.7706556171178818,3958.0506896972656,0.6615739546716213,480
9,-2.0591453820810948,-41.058568966410014,3794.0576020926237,0.0003,2.7991453820810945,5.0,0.8228303641080856,3793.2347717285156,0.6663834388057391,480
10,-2.1076423053369977,-18.89415535653135,3976.4263319447637,0.0003,2.847642305336998,5.0,0.7368788197636604,3975.689453125,0.6887479565416773,480
11,-2.201496224618551,-40.82146082757649,4280.241160981357,0.0003,2.941496224618551,5.0,0.6967884227633476,4279.544372558594,0.6961634509886304,480
12,-2.0241651331103827,-28.519970633986667,3470.518662787974,0.0003,2.7641651331103825,5.0,0.8518842235207558,3469.666778564453,0.6796419633552432,480
13,-2.1714117814800327,-32.01452547090304,4081.445685043931,0.0003,2.9114117814800324,5.0,0.8816286474466324,4080.5640563964844,0.6765778555224339,480
14,-2.0801349863327383,-26.49181525798112,3613.604305192828,0.0003,2.820134986332738,5.0,0.8162802904844284,3612.7880249023438,0.6576178118896981,480
15,-2.098611114564535,-28.95141501295615,3565.0479615926743,0.0003,2.838611114564535,5.0,0.7327150106430054,3564.3152465820312,0.6488992921387156,480
16,-2.211675415564099,-29.039668197880218,3857.7884458377957,0.0003,2.9516754155640994,5.0,0.7526487186551094,3857.0357971191406,0.6524423849458496,480
17,-2.0621181845701466,-33.241032998895875,3230.536017499864,0.0003,2.8021181845701464,5.0,0.8592291697859764,3229.676788330078,0.645914500268797,480
18,-2.0843878573627492,-34.5572186988263,3552.965319059789,0.0003,2.82438785736275,5.0,0.8707450851798058,3552.0945739746094,0.6558401717493931,480
19,-2.137574695981777,-37.02849420948736,3521.7772649154067,0.0003,2.8775746959817767,5.0,0.823163352906704,3520.9541015625,0.677404127890865,480
20,-2.075327944961333,-26.801072665002525,3409.193377494812,0.0003,2.815327944961333,5.0,0.7396421432495117,3408.4537353515625,0.6931579707811276,480
21,-1.9521994219026815,-41.95768658791616,2896.3226462230086,0.0003,2.6921994219026812,5.0,0.7407980784773827,2895.5818481445312,0.7104465554157893,480
22,-2.0953307428773327,-20.467891597337655,3384.1674079969525,0.0003,2.835330742877333,5.0,0.7068367078900337,3383.4605712890625,0.7230599741761883,480
